"cve_entidad_federativa","nom_entidad_federativa","total","total_rural","total_urban","with_latlon_prop","num_valid_lat_lon","latlon_rural","latlon_urban"
1,"AGUASCALIENTES",41159,12895,28264,0.0600840642386841,2473,1266,1207
2,"BAJA CALIFORNIA",122587,18681,103906,0.0160783769894034,1971,808,1163
3,"BAJA CALIFORNIA SUR",52592,9475,43117,0.0397018557955583,2088,270,1818
4,"CAMPECHE",48698,20516,28182,0.0671074787465604,3268,1336,1932
5,"COAHUILA DE ZARAGOZA",75085,13734,61351,0.03406805620297,2558,410,2148
6,"COLIMA",28085,6314,21771,0.0914011037920598,2567,698,1869
7,"CHIAPAS",367059,205143,161916,0.054002217627139,19822,14651,5171
8,"CHIHUAHUA",183033,30597,152436,0.0248097337638568,4541,232,4309
9,"DISTRITO FEDERAL",222824,2627,220197,0.148054069579579,32990,184,32806
10,"DURANGO",111442,46026,65416,0.0453778647188672,5057,1933,3124
11,"GUANAJUATO",272078,119852,152226,0.0332919236395445,9058,6348,2710
12,"GUERRERO",450959,229782,221177,0.11297701121388,50948,23350,27598
13,"HIDALGO",148271,78288,69983,0.0294191042078357,4362,2588,1774
14,"JALISCO",250141,46041,204100,0.070304348347532,17586,1559,16027
15,"MÉXICO",824358,240693,583665,0.034310336043321,28284,11173,17111
16,"MICHOACAN DE OCAMPO",279225,118608,160617,0.173662816724863,48491,28499,19992
17,"MORELOS",79265,20235,59030,0.0760991610420741,6032,3320,2712
18,"NAYARIT",90118,37124,52994,0.0969728578086509,8739,4094,4645
19,"NUEVO LEON",81816,11480,70336,0.0896035005377921,7331,965,6366
20,"OAXACA",324025,172296,151729,0.076003394799784,24627,16471,8156
21,"PUEBLA",435961,165624,270337,0.0935473585940027,40783,18053,22730
22,"QUERETARO",102699,38859,63840,0.0138365514756716,1421,534,887
23,"QUINTANA ROO",88623,18247,70376,0.0335917312661499,2977,1022,1955
24,"SAN LUIS POTOSI",149694,95669,54025,0.0475102542520074,7112,5766,1346
25,"SINALOA",118047,55147,62900,0.0437198742873601,5161,2813,2348
26,"SONORA",88355,21104,67251,0.0693452549374682,6127,1565,4562
27,"TABASCO",189696,112188,77508,0.108310138326586,20546,14275,6271
28,"TAMAULIPAS",160164,23524,136640,0.0108014285357509,1730,594,1136
29,"TLAXCALA",61825,10528,51297,0.156150424585524,9654,1148,8506
30,"VERACRUZ DE IGNACIO DE LA LLAVE",566333,280087,286246,0.110283172621055,62457,30180,32277
31,"YUCATAN",94857,30260,64597,0.160831567517421,15256,6870,8386
32,"ZACATECAS",75630,35352,40278,0.0433425889197408,3278,1198,2080
